Country_Code,Name,Capacity_Mw,Latitude,Longitude
ARG,PERUGORRIA,1.11,-29.34,-58.6077
ARG,PICO TRUNCADO - JORGE ROMANUTTI,2.4,-46.8065,-67.9808
ARG,PICO TRUNCADO I,45.6,-46.7842,-67.9498
ARG,PIEDRA DEL AGUILA (CPSA),1400.0,-31.6651,-63.8314
ARG,PIEDRAS MORAS,6.3,-32.1675,-64.2438
ARG,PILAR  BICENTENARIO,467.0,-31.6651,-63.8314
ARG,PILAR ZANICHELLI,216.0,-31.6662,-63.8344
ARG,PLANICIE BANDERITA,472.0,-28.5339,-65.7997
ARG,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,1.2,-31.3891,-68.6752
ARG,PRESIDENTE SARMIENTO,31.5,-31.5129,-68.5399
ARG,PUEBLO VIEJO,19.2,-27.1149,-65.7523
ARG,PUERTO MADRYN,42.0,-42.7069,-65.1048
ARG,PUERTO NUEVO,589.0,-34.5754,-58.3788
ARG,PUNTA ALTA - CENTENARIO,1.8,-38.7833,-61.8984
ARG,QUEBRADA DE ULLUM,45.0,-31.2567,-61.5203
ARG,RIO CORRALITO,13.2,-24.983,-65.686
ARG,RIO CUARTO,35.57,-33.1614,-64.3649
ARG,RIO GRANDE,750.0,-53.7862,-67.7222
ARG,RIO HONDO,19.0,-27.5225,-64.8861
ARG,SALTO ANDERSEN,7.9,-38.8244,-64.8296
ARG,SALTO GRANDE (MITAD ARGENTINA),945.0,-31.3891,-68.6752
ARG,SAN FRANCISCO,40.0,-31.4391,-62.1119
ARG,SAN MARTIN DE LOS ANDES,4.218,-40.1511,-71.334
ARG,SAN NICOLAS,644.0,-33.3562,-60.1729
ARG,SAN PEDRO,2.216,-26.6253,-54.1102
ARG,SAN ROQUE,26.0,-31.3533,-64.3938
ARG,SANTA ISABEL,2.25,-36.2314,-66.9381
ARG,SANTO TOME,2.684,-28.5497,-56.0722
ARG,SORRENTO,226.0,-32.9053,-60.6807
ARG,SUDOESTE,140.0,-31.463,-64.2388
ARG,Saujil,22.5,-28.165,-66.225
ARG,TARTAGAL,17.0,-22.5099,-63.797
ARG,TENARIS SIDERCA CETE II,163.20000000000002,-33.3655,-60.1435
ARG,TOSTADO,3.2,-29.2352,-61.7577
ARG,ULLUM,42.0,-31.4557,-68.7556
ARG,URUGUA-I,120.0,-25.8766,-54.5687
ARG,VENADO TUERTO,9.1,-33.7777,-61.9555
ARG,VILLA GESELL,130.0,-37.2487,-56.9973
ARG,VILLA MARIA (LAS PLAYAS),48.0,-39.0872,-67.0881
ARG,VUELTA DE OBLIGADO,560.0,-32.5807,-60.7903
ARG,YACYRETA,1550.0,-27.4827,-56.7397
ARM,Armenian-2,375.0,40.1805,44.1498
ARM,Hrazadan,1110.0,40.564,44.7479
ARM,New Yerevan,271.0,40.1152,44.4973
ARM,Sevan-Hrazdan Cascade,561.0,40.5078,44.7606
ARM,Shamb,170.0,39.4743,46.1306
ARM,Spandaryan,76.0,39.6494,45.85
ARM,Tatev,158.0,39.3956,46.2578
ARM,Yerevan,550.0,40.1138,44.5038
AUS,Adelaide Showgrounds,1.0,-34.9453,138.5882
AUS,Albany Wind Farm,21.6,-35.0641,117.7977
AUS,Amcor Gawler,4.0,-34.5509,138.7659
AUS,Angaston,50.0,-34.5034,139.0246
AUS,Anglesea,165.0,-38.3861,144.1828
AUS,Angurugu,3.6,-13.8584,136.4209
AUS,Appin (Mine),55.6,-34.2082,150.7722
AUS,Ararat Wind Farm,240.0,-37.2385,143.0794
AUS,Argyle Diamond Mine,32.0,-16.7162,128.4031
AUS,Bairnsdale,94.0,-37.8429,147.5639
AUS,Ballarat Base Hospital,3.0,-37.5596,143.8469
AUS,Banimboola,12.85,-36.5344,147.4594
AUS,Bankstown Sports Club,2.0,-33.9197,151.0332
AUS,Bannerton Solar Farm,88.0,-34.6899,142.7452
AUS,Barcaldine (Len Wishaw),37.0,-23.5525,145.3142
AUS,Barcaldine KDB,20.0,-23.549,145.318
AUS,Barcaldine YD,10.9,-23.5388,145.2732
AUS,Barron Gorge,60.0,-16.8502,145.6465
AUS,Bastyan,79.9,-41.736,145.5321
AUS,Bayswater,2640.0,-32.3953,150.9491
AUS,Belconnen,1.0,-35.2142,148.9872
AUS,Bell Bay (Bell Bay Three),115.0,-41.1429,146.903
AUS,Bendeela (Shoalhaven Scheme),240.0,-34.7337,150.4669
AUS,Berrimah,10.0,-12.4262,130.9195
AUS,Berwick,7.2,-38.1197,145.2665
AUS,Beryl AU,87.0,-32.353,149.468
AUS,Bidyadanga,1.3,-18.6816,121.7848
AUS,Blayney Wind Farm,9.9,-33.6219,149.1982
AUS,Blowering,70.0,-35.3986,148.2463
AUS,Blue Lake Milling Power Plant,1.0,-36.3164,140.7575
AUS,Bluff Point (Woolnorth) Wind Farm,65.0,-40.7207,144.6869
AUS,Boco Rock,113.0,-36.5763,149.1267
AUS,Bodangora Wind Farm,113.0,-32.4146,149.0998
AUS,Bogong (Mount Beauty Hydro Scheme),300.0,-36.8055,147.228
AUS,Braemar 1,504.0,-27.1109,150.9053
AUS,Braemar 2,519.0,-27.1128,150.9049
