Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
ARG,PIEDRA DEL AGUILA (CPSA),ARG0000233,1400.0,-31.6651,-63.8314
ARG,PIEDRAS MORAS,ARG0000099,6.3,-32.1675,-64.2438
ARG,PILAR  BICENTENARIO,ARG0000100,467.0,-31.6651,-63.8314
ARG,PILAR ZANICHELLI,ARG0000101,216.0,-31.6662,-63.8344
ARG,PLANICIE BANDERITA,ARG0000241,472.0,-28.5339,-65.7997
ARG,PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1,ARG0000298,1.2,-31.3891,-68.6752
ARG,PRESIDENTE SARMIENTO,ARG0000289,31.5,-31.5129,-68.5399
ARG,PUEBLO VIEJO,ARG0000340,19.2,-27.1149,-65.7523
ARG,PUERTO MADRYN,ARG0000073,42.0,-42.7069,-65.1048
ARG,PUERTO NUEVO,ARG0000045,589.0,-34.5754,-58.3788
ARG,PUNTA ALTA - CENTENARIO,ARG0000017,1.8,-38.7833,-61.8984
ARG,QUEBRADA DE ULLUM,ARG0000299,45.0,-31.2567,-61.5203
ARG,RIO CORRALITO,ARG0000282,13.2,-24.983,-65.686
ARG,RIO CUARTO,ARG0000103,35.57,-33.1614,-64.3649
ARG,RIO GRANDE,ARG0000104,750.0,-53.7862,-67.7222
ARG,RIO HONDO,ARG0000332,19.0,-27.5225,-64.8861
ARG,SALTO ANDERSEN,ARG0000271,7.9,-38.8244,-64.8296
ARG,SALTO GRANDE (MITAD ARGENTINA),ARG0000144,945.0,-31.3891,-68.6752
ARG,SAN FRANCISCO,ARG0000105,40.0,-31.4391,-62.1119
ARG,SAN MARTIN DE LOS ANDES,ARG0000250,4.218,-40.1511,-71.334
ARG,SAN NICOLAS,ARG0000002,644.0,-33.3562,-60.1729
ARG,SAN PEDRO,ARG0000227,2.216,-26.6253,-54.1102
ARG,SAN ROQUE,ARG0000107,26.0,-31.3533,-64.3938
ARG,SANTA ISABEL,ARG0000181,2.25,-36.2314,-66.9381
ARG,SANTO TOME,ARG0000135,2.684,-28.5497,-56.0722
ARG,SORRENTO,ARG0000313,226.0,-32.9053,-60.6807
ARG,SUDOESTE,ARG0000108,140.0,-31.463,-64.2388
ARG,Saujil,WKS0071209,22.5,-28.165,-66.225
ARG,TARTAGAL,ARG0000283,17.0,-22.5099,-63.797
ARG,TENARIS SIDERCA CETE II,ARG0000034,163.20000000000002,-33.3655,-60.1435
ARG,TOSTADO,ARG0000312,3.2,-29.2352,-61.7577
ARG,ULLUM,ARG0000290,42.0,-31.4557,-68.7556
ARG,URUGUA-I,ARG0000228,120.0,-25.8766,-54.5687
ARG,VENADO TUERTO,ARG0000309,9.1,-33.7777,-61.9555
ARG,VILLA GESELL,ARG0000009,130.0,-37.2487,-56.9973
ARG,VILLA MARIA (LAS PLAYAS),ARG0000109,48.0,-39.0872,-67.0881
ARG,VUELTA DE OBLIGADO,ARG0000308,560.0,-32.5807,-60.7903
ARG,YACYRETA,ARG0000136,1550.0,-27.4827,-56.7397
ARM,Armenian-2,WRI1019028,375.0,40.1805,44.1498
ARM,Hrazadan,WRI1019027,1110.0,40.564,44.7479
ARM,New Yerevan,WRI1019026,271.0,40.1152,44.4973
ARM,Sevan-Hrazdan Cascade,WRI1003805,561.0,40.5078,44.7606
